年份,花蓮縣,秀林鄉,富里鄉,卓溪鄉,玉里鎮,瑞穗鄉,豐濱鄉,萬榮鄉,光復鄉,鳳林鎮,壽豐鄉,吉安鄉,花蓮市,新城鄉
97,118433,4501,3910,1638,8882,4563,1804,2136,4965,4412,6718,27968,39801,7135
98,119916,4583,3979,1662,8938,4621,1815,2140,4983,4453,6784,28505,40228,7225
99,120903,4664,4000,1661,8901,4628,1806,2140,5029,4462,6825,29000,40483,7304
100,121833,4684,4004,1656,8896,4641,1787,2124,5050,4425,6856,29558,40798,7354
101,122651,4708,4023,1658,8912,4673,1766,2097,5026,4411,6873,30107,41000,7397
102,123440,4716,4004,1663,8939,4660,1745,2080,5026,4409,6899,30637,41192,7470
103,124243,4775,3993,1678,8943,4656,1741,2089,5053,4417,7016,31064,41279,7539
104,124956,4774,4012,1674,8920,4708,1723,2082,5031,4407,7057,31504,41454,7610
105,125361,4779,4007,1688,8891,4730,1717,2090,5041,4395,7114,31766,41465,7678
106,125936,4803,4028,1696,8902,4748,1709,2098,5009,4406,7226,32048,41526,7737
107,126222,4844,4035,1696,8875,4787,1718,2110,5031,4393,7248,32228,41499,7758
108,126663,4860,4044,1706,8866,4767,1714,2111,5012,4382,7314,32484,41582,7821
